name,image,classification,street_name_address,parking,info,call,hardness,latitude
상매지,0,지역호수/저수지,대구 동구 상매동,,,-,128.7012737,35.88715954
자문사,0,지역사찰,대구 북구 대동로3길 19,,,053-958-1259,128.6097969,35.89853609
평광사,0,지역사찰,대구 수성구 동원로28길 39,,,053-741-8969,128.6379033,35.87239921
원명사,0,지역사찰,대구 달서구 문화회관1길 15,,,053-592-4801,128.5202873,35.84897063
도류제,0,일반관광지,대구 달성군 다사읍 강정본길 57,,,-,128.4676268,35.84022793
이강서원,0,서원/향교/서당,대구 달성군 다사읍 이천리,,,-,128.4622985,35.88679621
월정사,0,지역사찰,대구 동구 대현로 118-7,,,053-941-0208,128.7005587,35.92430174
성수사,0,지역사찰,대구 동구 신덕로6길 43,,,053-962-0171,128.6931982,35.88073797
대구답사마당,0,일반관광지,대구 북구 유통단지로 25,,,053-604-1835,128.6055377,35.90606722
프랜차이즈특화거리,0,먹거리/패션거리,대구 서구 국채보상로75길 25-1,,,-,128.571778,35.87488962
도남저수지,0,지역호수/저수지,대구 북구 도남동 245,,,-,128.5886665,35.96719384
외지,0,지역호수/저수지,대구 수성구 이천동 122,,,-,128.6867481,35.83009338
윗산곡지,0,지역호수/저수지,대구 북구 도남동,,,-,128.5940912,35.97740762
관음사,0,지역사찰,대구 남구 두류공원로13길 22,,,053-625-4543,128.4316095,35.6984751
조령산흥천사포교원,0,지역사찰,대구 달서구 상화북로 188,,,-,128.5462516,35.81302804
동명훈련원,0,지역사찰,대구 동구 팔공로 322-16,,,-,128.6449502,35.92769551
팔공산벚꽃축제,0,지역축제,대구 동구 용수동 27-5 팔공산 동화지구 분수대 광장 일원,,,-,128.6958708,35.99006264
용화선원,0,지역사찰,대구 달성군 옥포읍 용연사길 109,,,053-616-7655,128.5057387,35.75403988
성도선원,0,지역사찰,대구 남구 자유5길 14,,,053-623-6450,128.5840394,35.83769092
미륵사,0,지역사찰,대구 달서구 송현로2길 7,,,010-9560-5655,128.6715259,35.91764361
구암마을동화천변길,0,먹거리/패션거리,대구 동구 미대동 460-1,,,-,128.6737244,35.95549737
이월드수국축제,0,지역축제,대구 달서구 두류공원로 200,,,070-7549-8112,128.5665843,35.84869993
불광사,0,지역사찰,대구 남구 명덕로32길 40,,,053-656-6024,128.5866121,35.85487119
와룡정사,0,지역사찰,대구 달서구 선원로57길 17,,,053-588-3599,128.5236292,35.86009238
옥인정사,0,지역사찰,대구 중구 중앙대로 400-2,,,053-422-5142,128.5938718,35.86883489
백련사,0,지역사찰,대구 달서구 중흥로 67,,,053-653-4324,128.6617383,35.80168933
우정취미사,0,토속/특산물/기념품매장,대구 중구 달구벌대로 지하 2160 메트로프자라 F228호,,,053-422-7545,128.5992313,35.86317194
수도암,0,지역사찰,대구 달성군 유가읍 유가사길 161,,,-,128.6335925,35.86549085
백산사,0,지역사찰,대구 달서구 상인서로 8-7,,,053-635-8005,128.5473712,35.81239846
월곡정사,0,지역사찰,대구 달서구 상인로26길 65,,,-,128.5476136,35.81681253
2.28민주로,0,일반관광지,대구 중구 2.28길 9,,,053-257-2280,128.5913838,35.858425
보광원,0,지역사찰,대구 수성구 지산로13길 19,,,053-783-8414,128.6317091,35.82696413
도동서원,0,서원/향교/서당,대구 달성군 구지면 도동서원로 1,,,053-616-6407,128.3721342,35.70106413
대구국제오페라축제,0,지역축제,대구 북구 호암로 15,,,-,128.5921917,35.88348351
지내지,0,지역호수/저수지,대구 군위군 삼국유사면 학암리,,,-,128.4668799,35.66712526
담티못,0,지역호수/저수지,대구 수성구 이천동,,,-,128.6656931,35.84998357
지외지,0,지역호수/저수지,대구 달성군 하빈면 대평리 938,,,-,128.4686165,35.92966023
인터불고대구카지노,0,카지노,대구 수성구 팔현길 212,,,053-222-3355,128.6599982,35.87291587
연화사,0,지역사찰,대구 달서구 달구벌대로 1728,,,053-655-9690,128.5545151,35.85639559
염불선원,0,지역사찰,대구 수성구 지산로14안길 25,,,-,128.6360104,35.82736072
인쇄골목,0,먹거리/패션거리,대구 중구 남산동,,,-,128.5880665,35.86352278
청라언덕,0,유명관광지,대구 중구 달구벌대로 2029,,,-,128.5855835,35.86699607
파계사,0,유명사찰,대구 동구 파계로 741,,,-,128.6403775,36.00156566
만불회,0,지역사찰,대구 수성구 달구벌대로 2551,,,-,128.6206532,35.87570872
원정지,0,지역호수/저수지,대구 수성구 대흥동,,,-,128.6820808,35.83091166
금용사,0,지역사찰,대구 달서구 공원순환로 213,,,053-628-5404,128.5594148,35.84182714
현풍향교,0,서원/향교/서당,대구 달성군 현풍읍 현풍동로20길 27-8,,,-,128.4517893,35.70149996
형형색색달구벌관등놀이,0,지역축제,대구 중구 국채보상로 670 국채보상기념공원 일원,,,-,128.6016668,35.86930171
금강사,0,지역사찰,대구 달서구 월배로69길 47,,,010-5144-5953,128.6203798,35.99099964
문암사,0,지역사찰,대구 달성군 가창면 가창로 132,,,-,128.6733144,35.73296984
현풍포교당,0,유명사찰,대구 달성군 현풍읍 현풍동로27길 54-6,,,053-614-3115,128.539226,35.76891038
들안길먹거리타운,0,먹거리/패션거리,대구 수성구 두산동 967-1,,,-,128.6167766,35.83326809
청호서원,0,서원/향교/서당,대구 수성구 청호로 250-11,,,053-762-3133,128.6411891,35.83948392
가현지,0,지역호수/저수지,대구 달성군 논공읍 하리,,,-,128.4463447,35.74241479
나불지,0,지역호수/저수지,대구 동구 각산동 134,,,-,128.7198436,35.87978549
보성선원,0,지역사찰,대구 달서구 송현로8안길 35,,,053-621-3333,128.5503812,35.82201543
성신사,0,지역사찰,대구 중구 큰장로26길 45,,,053-255-3231,128.5388319,35.91420407
관음정사,0,지역사찰,대구 서구 통학로15길 18-1,,,-,128.4989177,35.66343422
서부정류장막창골목,0,먹거리/패션거리,대구 남구 대명동,,,-,128.5586981,35.83762898
성관음사,0,지역사찰,대구 남구 양지로 95,,,-,128.5787174,35.85151097
몰랑몰랑,0,일반관광지,대구 달성군 화원읍 비슬로523길 8-4,,,-,128.5026161,35.80585904
교동먹거리타운,0,먹거리/패션거리,대구 중구 교동,,,-,128.5966525,35.8730082
시인의길,0,먹거리/패션거리,대구 동구 도학동,,,-,128.6985318,35.96414937
갓바위관광지,0,유명관광지,대구 동구 갓바위로 229,,,-,128.7280907,35.97073604
굿밧골계곡,0,폭포/계곡,대구 달성군 유가읍 양리,,,-,128.4953059,35.70074224
증산저수지,0,지역호수/저수지,대구 달성군 유가읍 양리 346,,,-,128.4917697,35.70356331
서재1지,0,지역호수/저수지,대구 달성군 다사읍 서재리 산 29-2,,,-,128.5012828,35.87073189
국수지,0,지역호수/저수지,대구 북구 국우동 438,,,-,128.5909854,35.94301034
당제지,0,지역호수/저수지,대구 동구 덕곡동,,,-,128.610758,35.99657636
지장지,0,지역호수/저수지,대구 군위군 소보면 달산리,,,-,128.7085918,35.96900051
삼보사,0,지역사찰,대구 서구 문화로69길 33-15,,,-,128.6216362,35.81241288
성불사,0,지역사찰,대구 달서구 와룡로45길 24-16,,,053-556-3717,128.5653495,35.89196011
자동차부속골목,0,먹거리/패션거리,대구 중구 남산동,,,-,128.5878881,35.85709516
송곡사,0,지역사찰,대구 서구 국채보상로52길 21 2층,,,-,128.6210928,35.84606482
흥교사,0,지역사찰,대구 달성군 화원읍 명천로 391,,,053-631-8185,128.4834859,35.79189306
용화사,0,지역사찰,대구 달서구 장산2길 47,,,-,128.6958033,35.87041229
선화당,0,서원/향교/서당,대구 달서구 월배로74동길 40,,,-,128.5922733,35.87210228
창동지,0,지역호수/저수지,대구 달성군 구지면 화산리,,,-,128.4109941,35.6628039
조일지,0,지역호수/저수지,대구 수성구 지산동 14,,,-,128.6487306,35.83077862
골안못,0,지역호수/저수지,대구 수성구 황금동,,,-,128.6416507,35.84530894
가동지,0,지역호수/저수지,대구 동구 둔산동,,,-,128.6773538,35.90287649
기원정사,0,지역사찰,대구 북구 매천로15길 7-25,,,053-313-0302,128.5389022,35.90258819
성황사,0,지역사찰,대구 남구 효성로 21-4,,,053-475-4245,128.5996429,35.83563151
동인동찜갈비골목,0,먹거리/패션거리,대구 중구 동덕로36길 9-17,,,-,128.605007,35.87103403
금강원,0,지역사찰,대구 달서구 송현로12안길 9,,,-,128.5821465,35.89085157
성심사,0,지역사찰,대구 북구 매천로37길 29-14,,,053-314-4971,128.5388545,35.91423101
비바생물원,0,일반관광지,대구 달성군 화원읍 성화로 25,,,010-5499-7838,128.4867794,35.79836657
류가네,0,토속/특산물/기념품매장,대구 서구 국채보상로 433,,,-,128.578369,35.87135727
감자탕골목,0,먹거리/패션거리,대구 동구 해동로 54,,,-,128.6375794,35.89308271
부곡지,0,지역호수/저수지,대구 달성군 다사읍 부곡리,,,-,128.4760484,35.66181514
선물유통,0,토속/특산물/기념품매장,대구 북구 칠성시장로7길 43,,,053-255-4949,128.6016997,35.87545141
선불사,0,지역사찰,대구 달서구 용산로14길 14-1,,,053-522-7872,128.5443158,35.85823318
청룡암,0,지역사찰,대구 달성군 가창면 헐티로6길 38,,,053-764-5535,128.570686,35.75399554
불은선원,0,지역사찰,대구 달성군 하빈면 하빈로86길 40,,,053-581-0770,128.4487711,35.90155149
안경거리,0,먹거리/패션거리,대구 북구 노원동3가,,,-,128.5786994,35.89919091
유정지,0,지역호수/저수지,대구 달성군 옥포읍 교항리 2194,,,-,128.4374094,35.78373599
대구향교,0,서원/향교/서당,대구 중구 명륜로 112,,,053-422-8700,128.5961189,35.85948179
이양서원,0,서원/향교/서당,대구 달성군 현풍읍 삼강3길 23,,,-,128.420344,35.66624087
낫늪,0,지역호수/저수지,대구 달성군 논공읍 상리 1043,,,-,128.4029695,35.74911778
심원사,0,지역사찰,대구 달성군 화원읍 명천로 372,,,-,128.4853205,35.79103298
향련사,0,지역사찰,대구 수성구 파동로 163-1,,,053-763-0543,128.6169881,35.81790813
도원사,0,지역사찰,대구 남구 현충로 205 2층,,,010-4725-2774,128.3824609,35.6079409
금호정사,0,지역사찰,대구 수성구 고모동 33-1,,,053-791-0328,128.6674193,35.87059108
경북대학교대구캠퍼스일청담,0,지역호수/저수지,대구 북구 대현동 25,,,-,128.6121256,35.88869028
지장사,0,유명사찰,대구 서구 평리로 198,,,-,128.6342276,35.86449332
무학사,0,지역사찰,대구 서구 가르뱅이로7길 110,,,-,128.5260595,35.8741363
문창공영당,0,서원/향교/서당,대구 동구 도평로38길 51,,,-,128.6631632,35.91528596
부동지,0,지역호수/저수지,대구 동구 부동 125-1,,,-,128.4470554,35.70369726
모산지,0,지역호수/저수지,대구 수성구 매호동,,,-,128.7153074,35.84773798
정토회,0,지역사찰,대구 중구 명륜로 102 남산빌딩 2층,,,053-256-8993,128.6456796,35.8742722
법성사,0,지역사찰,대구 서구 달서로25길 5-1,,,053-553-5371,128.6175193,35.87192072
오토바이골목,0,먹거리/패션거리,대구 중구 인교동,,,-,128.5837476,35.87237703
상성폭포,0,폭포/계곡,대구 달성군 유가읍 휴양림길 481,,,-,128.4887595,35.70219647
동국사,0,지역사찰,대구 중구 달성공원로10길 17,,,053-424-9940,128.5806464,35.8744288
행대심인당,0,지역사찰,대구 수성구 수성로29길 27,,,053-763-5430,128.6102049,35.83879788
대구수제화골목,0,먹거리/패션거리,대구 중구 향촌동 9-2,,,-,128.594393,35.87318956
용문폭포,0,폭포/계곡,대구 달성군 화원읍 본리리 1138,,,-,128.5279518,35.78181812
가청지,0,지역호수/저수지,대구 동구 진인동 493,,,-,128.7175848,35.95519677
대윤사,0,지역사찰,대구 서구 북비산로74길 29,,,053-652-5966,128.5761125,35.87773866
예성공예,0,토속/특산물/기념품매장,대구 동구 팔공로28길 73,,,053-981-6117,128.6485432,35.9113417
천운사,0,지역사찰,대구 달서구 진천로 13,,,053-632-5497,128.5985424,35.84229964
해룡사,0,지역사찰,대구 남구 고산3길 60,,,053-471-7769,128.6024714,35.8304682
호암사,0,지역사찰,대구 동구 위남로 66,,,053-983-2157,128.6347229,35.92979749
대구약령시한방문화축제,0,지역축제,대구 중구 달구벌대로415길 49 약전골목,,,053-253-4729,128.5898758,35.86824752
최정심인당,0,지역사찰,대구 달서구 성서동로 355-19,,,053-585-3220,128.5128851,35.85233553
작은동물원,0,동물원,대구 수성구 국채보상로 936,,,-,128.6369324,35.87212459
신서지,0,지역호수/저수지,대구 동구 신서동 976,,,-,128.7266111,35.87992076
연호지,0,지역호수/저수지,대구 수성구 삼덕동 11,,,-,128.6773278,35.83975807
에코테마파크대구숲,0,일반관광지,대구 달성군 가창면 용계리 산 132,,,-,128.6266828,35.79313126
반야선원,0,지역사찰,대구 달서구 상화북로 195-11 4층,,,053-582-7077,128.6389994,35.84007521
관오사,0,지역사찰,대구 남구 이천로26길 9,,,053-471-6640,128.5991606,35.8523037
월천사,0,지역사찰,대구 동구 도평로43길 76-42,,,-,128.6637714,35.92548983
극락사,0,지역사찰,대구 남구 명덕로54길 31,,,053-473-2002,128.6077262,35.83521666
LH대구경북본부분양홍보관,0,일반관광지,대구 달성군 화원읍 화암로 18,,,-,128.4902011,35.79695036
돼지골목,0,먹거리/패션거리,대구 중구 서성로1가,,,-,128.5867915,35.8722088
하동지,0,지역호수/저수지,대구 달성군 논공읍 하리 331,,,-,128.4342596,35.74359369
대덕제,0,지역축제,"대구 남구 현충로 170 영남이공대학, 대덕 문화전당, 앞산 일원",,,053-664-2171,128.5822975,35.84699384
운암지,0,지역호수/저수지,대구 북구 구암동 349,,,-,128.5674693,35.93223779
용문지,0,지역호수/저수지,대구 달성군 화원읍 본리리,,,-,128.5398535,35.76814213
다리지,0,지역호수/저수지,대구 동구 도동,,,-,128.6696905,35.93298807
지산정사,0,지역사찰,대구 수성구 청수로40길 73-4,,,-,128.630008,35.83566157
동대사,0,지역사찰,대구 수성구 달구벌대로541길 79-25,,,053-795-1357,128.6610355,35.85986763
대자비원,0,지역사찰,대구 북구 연암공원로11길 20,,,053-942-9544,128.5994914,35.89778478
운곡사,0,지역사찰,대구 수성구 범안로65길 149,,,053-791-0469,128.6560758,35.8291858
법왕사,0,지역사찰,대구 서구 새방로29길 20,,,-,128.524925,35.88147627
화정사,0,지역사찰,대구 중구 큰장로28길 28,,,-,128.5674713,35.93639394
무불사,0,지역사찰,대구 달서구 당산로 27,,,053-553-2197,128.5442511,35.84010787
북문로데오거리,0,먹거리/패션거리,대구 북구 대학로15길 7,,,-,128.608218,35.89262861
순종어가길,0,먹거리/패션거리,대구 중구 달성로22길 51,,,-,128.5849657,35.87472308
팔공산순환도로가로수길,0,먹거리/패션거리,대구 동구 용수동,,,-,128.6844453,35.99234969
금호지,0,지역호수/저수지,대구 북구 금호동 609-1,,,-,128.5269585,35.90914784
대구산업공구골목,0,일반관광지,대구 중구 인교동,,,-,128.5828645,35.87349284
용강서원,0,서원/향교/서당,대구 달서구 선원로33길 101,,,-,128.5144262,35.86144292
죽림정사,0,지역사찰,대구 수성구 달구벌대로527길 11,,,-,128.6568826,35.7304686
컬러풀대구세계인축제,0,지역축제,대구 중구 국채보상로 지하 580,,,053-430-1263,128.6018144,35.86927349
대덕암,0,지역사찰,대구 수성구 상화로4길 7,,,-,128.6098415,35.83436869
대원사,0,지역사찰,대구 서구 당산로 251,,,-,128.6242174,35.94750369
내관지,0,지역호수/저수지,대구 수성구 대흥동 646-90,,,-,128.685676,35.81905743
안박실못,0,지역호수/저수지,대구 달성군 가창면 상원리,,,-,128.6696078,35.78930854
서당골못,0,지역호수/저수지,대구 달성군 가창면 행정리 709,,,-,128.6573473,35.78744131
청계사,0,지역사찰,대구 수성구 월드컵로 2-50,,,-,128.6801368,35.80977429
남지장사,0,지역사찰,대구 달성군 가창면 남지장사길 95,,,053-768-9920,128.6308321,35.73505593
안성사,0,지역사찰,대구 수성구 고모로28길 32,,,053-794-0714,128.6856366,35.85381332
광불사,0,지역사찰,대구 달서구 구마로39길 16 2층,,,-,128.5489195,35.83819194
기남지,0,지역호수/저수지,대구 달성군 화원읍 명곡리,,,-,128.5131371,35.77063728
박곡지,0,지역호수/저수지,대구 달성군 다사읍 박곡리 85,,,-,128.4899991,35.88909997
내상지,0,지역호수/저수지,대구 동구 내동,,,-,128.6604901,35.96972783
희락심인당,0,지역사찰,대구 중구 명륜로12길 33-22,,,053-254-1470,128.5885214,35.86183688
반야사,0,지역사찰,대구 남구 안골3길 15,,,053-652-6116,128.6177485,35.95123494
통천사,0,유명사찰,대구 동구 아양로 260-8,,,053-941-3503,128.6420749,35.88733194
원정사,0,지역사찰,대구 북구 칠곡중앙대로125길 19-1,,,053-321-3853,128.5518541,35.95254758
송골못,0,지역호수/저수지,대구 달성군 화원읍 명곡리,,,-,128.5074591,35.78034392
상원지,0,지역호수/저수지,대구 달성군 가창면 상원리 621,,,-,128.6754727,35.77172633
관등사,0,지역사찰,대구 수성구 만촌로 66,,,053-741-5875,128.644451,35.8648822
반야정사,0,지역사찰,대구 서구 당산로 263,,,-,128.7291719,35.95098143
영천사,0,지역사찰,대구 중구 큰장로26길 5,,,-,128.5280345,35.91594632
치킨체험테마파크땅땅랜드,0,테마공원/대형놀이공원,대구 동구 팔공로 220-2,,,-,128.6416742,35.91752063
타올거리,0,먹거리/패션거리,대구 중구 동산동 44,,,-,128.5830318,35.87066159
와이알,0,토속/특산물/기념품매장,대구 달서구 상인로 76,,,053-643-6726,128.5482039,35.81496276
도곡지,0,지역호수/저수지,대구 북구 서변동,,,-,128.5896252,35.93346209
